,text
79,@Mrs_MeowMom @LeftTheCoast @SmoothJohnny5 If anything I’m creeped out by the Batman villains besides cat woman from Batman returns and the dark night rises
80,"After being saved by Batman on the night he returns from his retirement, Carrie Kelley is determined to help the Dark Knight. Batman accepts her as his newest Robin, &amp; although he's reluctant to do so, her skills &amp; dedication make her a worthy sidekick. 

https://t.co/CpVcMqQ5KV https://t.co/7RjUOM989M"
81,"Ok, lo admito: Me encantaría un live action de The Dark Night Returns dirigido por Snyder por 2 motivos: El Batman de Ben y la ambientación oscura.

Digo, en Batman Vs Superman, quitando lo que pueda opinar en si de la misma, queda muy bien la ambientación trágica."
82,"@Barrymore234 @DcRational @BlackMajikMan90 Watchmen, Dark Knight Returns, Killing Joke, Injustice, Flashpoint Paradox, The Dark Side, Batman who Laughs, Blackest Night, literally anything that has Crisis in the name, etc. I don’t even know what you mean by: “stop” I’m just asking a simple question."
83,"@LordCastroP 5 amigos y seis datos Versión Friki total!
1- Comic/Manga fav: Batman The Dark Night Returns 
2- Anime fav: DBZ/DBS
3- Película Marvel/DC: Zack Snyder’s Justice League
4- Saga favorita: StarWars
5- Personaje: Bruce Wayne
6- Villano fav: Darth Vader

Nomino a:
Quien quiera hacerlo"
84,"@mspeacherino This latest movie version of The Batman returns the character to his original roots within the DC Comics realm. The initiial storyline focused this super hero as the dark night, a detective, who aides the police to solve difficult crimes and battle against super villians. A+"
85,Batman: The Dark Night Returns - The Game (Deluxe Kickstarter Exclusive Edition) https://t.co/HTxJp8CbRt eBay https://t.co/Xfk3YfHN3L
86,"@benonwine Batman: The Dark Night Returns

(Yes I am aware of the spelling)"
87,@KDralling @Hankdeezy1 @marvxx_07 It's two completely different batmans  Ben's will allways be an older batman off the dark night returns serries. So he can only be compared to Christian bale in dark knight rises witch is the older batman as well. Don't see how you can compare it to a year 2 batman
88,Batman The Dark Night Returns (Frank Miller) 1/6 Diorama Statue Iron Studios https://t.co/OHTnqe4uNR eBay https://t.co/kExwDHi7bW
89,"So, last night I had a small bowl and put on #TheBatman and I have to say: it is easily in my top 3 Batman films of all time.  It will require additional viewings to see where it stands against The Dark Knight and TDK Returns. 

But Pattinson's 'young' Bruce was pitch perfect."
90,Batman The Dark Night Returns (Frank Miller) 1/6 Diorama Statue IRON STUDIOS https://t.co/crS7yTaXOT eBay
91,Batman The Dark Night Returns (Frank Miller) 1/6 Diorama Statue Iron Studios https://t.co/tQNCy4TzaN eBay
92,Batman the Dark Night Returns (Frank Miller) 1/6 Diorama Statue Iron Studios https://t.co/bB1yzBn7eI eBay
93,@RavenEAP I think I prefer it to the dark night films n I prefer Pattison to bale but I still do prefer batman89 and batman returns
94,"Out of all the versions of batman...
I would've never imagined they would pick the dark night returns version to make into a plushie https://t.co/0GgLAEqN8t"
95,@MorenMaurice Batman:The dark night returns
96,@h0pelesscait Riverdale season 10 will conclude of the return of Batman the dark night and ozymandias resurrection 🥺🥺🥺
97,"@QuentWestbrook 1. Je dois en avoir lu à peine plus d'une centaine

2. Batman, Dark Vador, Spider-Man, Harley Quinn, Flash

3. Batman Metal, Dark Vador Le Seigneur Noir des Sith, The Dark Knight Returns, La Dernière Chasse de Kraven, Blackest Night"
98,"@CascadoTorres Terminator 2
Spider-man 2
The Dark Night
Superman 2 Richard Donner Cut
Indiana Jones La Ultima Cruzada
El Padrino 2
El prisionero de Azkabán
Mad Max Fury Road
Endgame 
Civil War
Batman Returns
MI 6
Shrek 2
Bionicle 2
Star Wars 3
STLa Ira de Khan
ST primer contacto
Purge 2"
99,"@LokiEddy @BeardedChef_ This sounds like a whole Journey...So far  in this lifetime I have watched Spiderman 1, 2 &amp; 3, the Dark night &amp; Batman returns. Siko mbaya vile Sindio🤷🏼‍♂️"
100,"Por siaca a quí dejao Batman The Dark Night Returns 

una joyita en el mundo de Batman, brindándonos a un justiciero derrotado y dejando el mano por 20 años a causa de la muerte de Robin (Jason Todd)
https://t.co/HtxRXQduxs"
101,@Batman_es_DIOS Me encanta mas por su parecido a the dark night returns 🔥
102,"@MGolondrinart @Nawer_Rapter @cubismofriki O sin salir del género
Watchmen
Kingdom come
Batman año 1
Spiderman la última cacería de kraven
Sandman
All star superman
Minute men
El largo Halloween
Daredevil born again
Arma x
Wolverine origen
Spidermen
The dark night returns
Old man Logan
Capitán América soldado de invierno"
103,@i_amqko @ElFrikiCubano Yo se que no viene al tema. Pero el Batman The Dark Night Returns le gana a todo el universo cinematográfico de DC Y Marvel juntos en live action
104,"The Dark Night Returns fundamentally does not understand the character of batman. It's infuriatingly problematic, this story isnt a ""what if"" it is just straight up flawed commentary on the justice system and how ""necessary"" batman is."
105,Batman the dark night returns is overrated as hell imo
106,"@Tessellade @ACAB_Batman @MIDImyers If i had more free time i would follow all of these batman fans and every time they posted something that didn't feel canonical to the only true Batman (1966) I would deride their post as ""shitty takes"". The Dark Night Returns is garbage, Batman would never act that way."
107,"Finished The Batman last night. I loved it. It's a giant step up from the Dark Knight trilogy (which I did not enjoy anything like I did Batman and Batman Returns). I think Robert Pattinson brought a new take to Mr. Bat, and I like it and want more."
108,"my batman movies ranking so far goes 
1. the batman 
2. batman returns 
3. batman begins 
4. batman (?)
5. the dark night (?)"
109,"Just finished watching The Batman-
1- The Dark Night
2- The Batman
3- Batman 1989
4- Batman Returns
Pick the rest"
110,"@TimothyJT18 What I meant by nemesis is that Superman’s mere presence makes Batman almost superfluous, at least that’s how Bruce feels sometimes. It’s come through in The Dark Knight Returns, Identity Crisis, the One Night in Gotham City storyline, and many others."
111,"Después de ver la última Batman, va ranking

1 Batman (Tim Burton)
2 Batman Returns (Tim Burton)
3 The Dark Night (C.Nolan)
4 el resto  todas una poronga"
112,"Después de ver la última Batman, va ranking

1 Batman (Tim Burton)
2 Batman Returns (Tim Burton)
3 The Dark Night (C.Nolan)
4 el resto  todas una poronga"
113,"Ilustración: portada del primer número de 'Batman: The Dark Night Returns' (Frank Miller, 1986)"
114,"1.The Batman
2.Batman Begins
3.Batman(89)
4.The Dark Night
5.Batman Returns"
